id	name	team	position	country	league_key	league
201704	Remo Freuler	Bologna	CDM,CM	Switzerland	serie_a	Serie A
1289618	Daniel Frey	Cremonese	Midfielder	Italy	serie_a	Serie A
975901	Juan Pablo Freytes	Fluminense	CB	Argentina	brasileirao	Serie A
767789	Marco Friedl	Werder Bremen	CB,LB	Austria	bundesliga	Bundesliga
530858	Marvin Friedrich	Borussia Mönchengladbach	CB	Germany	bundesliga	Bundesliga
1190371	Matija Frigan	Parma	ST	Croatia	serie_a	Serie A
934495	Godfried Frimpong	Kasımpaşa	LB,LWB	Netherlands	super_lig	Super Lig
966018	Jeremie Frimpong	Liverpool	RB,RW,RWB	Netherlands	premier_league	Premier League
1436856	Victor Froholdt	FC Porto	CM,CAM,CDM	Denmark	liga_portugal	Liga Portugal
797901	Jorge de Frutos	Rayo Vallecano	ST,RW	Spain	la_liga	LaLiga
950270	Adonis Frías	Santos FC	CB	Argentina	brasileirao	Serie A
820133	Christian Früchtl	Lecce	GK	Germany	serie_a	Serie A
1043908	Bruno Fuchs	Palmeiras	CB	Brazil	brasileirao	Serie A
952528	Adrián De La Fuente	Levante	CB,RB	Spain	la_liga	LaLiga
1092731	Joel Chima Fujita	St. Pauli	CDM,CM,CAM	Japan	bundesliga	Bundesliga
1269404	Taichi Fukui	Arouca	CDM	Japan	liga_portugal	Liga Portugal
1050325	Alessio Furlanetto	Lazio	GK	Italy	serie_a	Serie A
1413853	Kaye Furo	Brentford	ST	Belgium	premier_league	Premier League
1784621	Kauê Furquim	Bahia	Midfielder	Brazil	brasileirao	Serie A
844493	Daniel Fuzato	Vasco da Gama	GK	Brazil	brasileirao	Serie A
30441	Fábio	Fluminense	GK	Brazil	brasileirao	Serie A
20446	Fágner	Cruzeiro	RB	Brazil	brasileirao	Serie A
1049999	Enzo Le Fée	Sunderland	LW,CAM,CM,LM,ST	France	premier_league	Premier League
1946398	Gustavo Félix	Fluminense	Keeper	Brazil	brasileirao	Serie A
1374503	Hugo Félix	Tondela	CAM,CM,LW,ST	Portugal	liga_portugal	Liga Portugal
1950792	Léo Félix	Vasco da Gama	Midfielder	Brazil	brasileirao	Serie A
642534	Jonas Föhrenbach	FC Heidenheim	LB,CB,LWB,LM	Germany	bundesliga	Bundesliga
892679	Chris Führich	VfB Stuttgart	LW,CAM,LWB	Germany	bundesliga	Bundesliga
276791	Niclas Füllkrug	Milan	ST	Germany	serie_a	Serie A
844996	Matteo Gabbia	Milan	CB	Italy	serie_a	Serie A
1689041	Tommaso Gabellini	Torino	ST	Italy	serie_a	Serie A
795179	Gabriel	Arsenal	CB	Brazil	premier_league	Premier League
